Person Code,Unit Instance Code,Calocc Code,Surname,Forename,Long Description,Register Event ID,Object ID,Register Event Slot ID,Planned Start Date,Planned End Date,is Positive,Postive Marks,Negative Marks,Usage Code
129,278,2025,Lewis,Ursula,Nursing,37,37,574,2025-04-03,2023-11-01,Y,1,1,O
129,492,2023,Lewis,Ursula,Italian,726,37,1040,2023-11-03,2023-05-01,N,0,0,A
280,1266,2024,Lim,Michael,History,846,726,1123,2024-07-03,2023-05-07,N,0,0,A
280,1266,2024,Lim,Michael,History,846,726,653,2024-10-09,2025-04-29,N,0,0,A
280,1266,2023,Lim,Michael,History,846,726,776,2023-12-27,2025-03-22,N,0,0,A
280,1266,2025,Lim,Michael,History,295,726,735,2025-08-02,2024-10-09,N,0,0,A
280,1266,2023,Lim,Michael,History,295,726,271,2023-07-02,2025-06-26,N,0,0,A
280,557,2023,Lim,Michael,Arabic,924,726,1124,2023-09-18,2025-05-25,Y,1,1,Y
440,871,2023,Jain,Yang,Database Design,658,846,592,2023-09-19,2023-06-28,N,0,0,A
440,871,2023,Jain,Yang,Database Design,682,846,68,2023-07-07,2024-12-20,N,0,0,A
440,1622,2023,Jain,Yang,Spanish,286,846,453,2023-04-13,2025-08-05,N,0,0,A
384,1266,2023,Clark,Ruth,History,295,295,715,2023-11-11,2023-07-10,Y,1,1,P
384,557,2024,Clark,Ruth,Arabic,880,295,458,2024-11-12,2024-01-04,Y,1,1,Y
225,871,2025,Robert,Elena,Database Design,658,924,589,2025-01-28,2023-02-04,Y,1,1,P
225,871,2025,Robert,Elena,Database Design,682,924,1118,2025-01-20,2025-05-23,Y,1,1,P
225,1622,2023,Robert,Elena,Spanish,286,924,453,2023-04-13,2025-08-05,Y,1,1,P
225,1622,2025,Robert,Elena,Spanish,286,924,426,2025-08-25,2025-05-17,Y,1,1,P
225,1622,2024,Robert,Elena,Spanish,286,924,232,2024-02-29,2023-06-24,Y,1,1,P
416,1266,2023,Rossi,Daniel,History,846,658,812,2023-01-08,2024-08-09,N,0,0,A
1,871,2024,Rodriguez,Ahmad,Database Design,658,682,1019,2024-12-19,2023-09-12,N,0,0,A
1,1622,2024,Rodriguez,Ahmad,Spanish,286,682,859,2024-09-13,2023-12-01,Y,1,1,P
435,871,2023,White,Linda,Database Design,658,286,977,2023-03-29,2024-04-27,Y,1,1,P
435,871,2023,White,Linda,Database Design,658,286,281,2023-12-01,2025-07-02,Y,1,1,P
346,1266,2023,Reddy,Hana,History,846,880,311,2023-06-04,2023-11-26,Y,1,1,P
346,1266,2023,Reddy,Hana,History,846,880,917,2023-01-20,2025-04-14,N,0,0,A
346,1266,2023,Reddy,Hana,History,295,880,715,2023-11-11,2023-07-10,N,0,0,A
346,557,2025,Reddy,Hana,Arabic,272,880,575,2025-06-28,2023-09-10,Y,1,1,P
346,557,2024,Reddy,Hana,Arabic,880,880,321,2024-02-14,2023-05-25,Y,1,1,Y
346,557,2024,Reddy,Hana,Arabic,880,880,458,2024-11-12,2024-01-04,Y,1,1,Y
314,871,2024,Esposito,Carmen,Database Design,658,272,1019,2024-12-19,2023-09-12,Y,1,1,P
314,871,2023,Esposito,Carmen,Database Design,682,272,182,2023-12-31,2025-01-14,Y,1,1,P
314,1622,2025,Esposito,Carmen,Spanish,286,272,287,2025-03-09,2024-03-14,Y,1,1,P
474,891,2025,Müller,Michael,Journalism,137,137,525,2025-04-26,2024-12-16,N,0,0,A
474,1749,2024,Müller,Michael,International Business,954,137,223,2024-01-10,2024-12-22,N,0,0,A
474,1867,2023,Müller,Michael,Project Management,515,137,1043,2023-11-29,2024-07-21,Y,1,1,P
474,1867,2025,Müller,Michael,Project Management,515,137,810,2025-05-12,2023-12-10,Y,1,1,P
474,1867,2025,Müller,Michael,Project Management,515,137,496,2025-03-04,2024-12-23,N,0,0,A
474,1867,2024,Müller,Michael,Project Management,788,137,717,2024-05-05,2023-12-26,N,0,0,A
474,1867,2025,Müller,Michael,Project Management,788,137,432,2025-02-16,2023-03-04,N,0,0,A
474,1798,2025,Müller,Michael,Algorithms,860,137,465,2025-01-31,2024-07-01,Y,1,1,P
474,1798,2025,Müller,Michael,Algorithms,860,137,391,2025-07-03,2025-08-06,N,0,0,A
474,1798,2024,Müller,Michael,Algorithms,640,137,775,2024-06-21,2023-06-21,Y,1,1,P
474,1798,2024,Müller,Michael,Algorithms,737,137,712,2024-10-30,2024-03-19,Y,1,1,Y
474,1798,2025,Müller,Michael,Algorithms,737,137,667,2025-08-18,2025-03-17,Y,1,1,Y
474,547,2024,Müller,Michael,System Administration,683,137,61,2024-08-12,2024-01-25,N,0,0,A
474,547,2025,Müller,Michael,System Administration,412,137,1066,2025-01-20,2025-05-23,Y,1,1,P
474,1896,2023,Müller,Michael,Public Speaking,71,137,755,2023-02-06,2023-04-18,N,0,0,A
474,1896,2023,Müller,Michael,Public Speaking,71,137,669,2023-10-25,2023-03-21,N,0,0,A
317,891,2025,Lebedev,Takeshi,Journalism,137,954,525,2025-04-26,2024-12-16,Y,1,1,P
317,1749,2025,Lebedev,Takeshi,International Business,213,954,456,2025-02-14,2023-03-06,Y,1,1,P
317,1867,2023,Lebedev,Takeshi,Project Management,67,954,522,2023-12-06,2024-12-10,Y,1,1,P
317,1867,2024,Lebedev,Takeshi,Project Management,67,954,235,2024-08-26,2025-04-23,Y,1,1,P
317,1867,2023,Lebedev,Takeshi,Project Management,515,954,1043,2023-11-29,2024-07-21,Y,1,1,P
317,1867,2025,Lebedev,Takeshi,Project Management,515,954,810,2025-05-12,2023-12-10,Y,1,1,P
317,1867,2025,Lebedev,Takeshi,Project Management,515,954,496,2025-03-04,2024-12-23,N,0,0,A
317,1798,2024,Lebedev,Takeshi,Algorithms,860,954,513,2024-01-23,2024-06-17,Y,1,1,P
317,1798,2025,Lebedev,Takeshi,Algorithms,860,954,391,2025-07-03,2025-08-06,N,0,0,A
317,1798,2023,Lebedev,Takeshi,Algorithms,860,954,343,2023-12-27,2025-03-22,N,0,0,A
317,547,2024,Lebedev,Takeshi,System Administration,683,954,58,2024-02-20,2025-06-10,Y,1,1,P
317,547,2023,Lebedev,Takeshi,System Administration,412,954,567,2023-12-31,2025-01-14,Y,1,1,P
317,1896,2023,Lebedev,Takeshi,Public Speaking,71,954,669,2023-10-25,2023-03-21,Y,1,1,P
161,1867,2024,Robert,Tatiana,Project Management,788,515,854,2024-04-23,2023-11-13,Y,1,1,P
161,1798,2024,Robert,Tatiana,Algorithms,640,515,775,2024-06-21,2023-06-21,Y,1,1,P
161,547,2024,Robert,Tatiana,System Administration,412,515,596,2024-02-18,2024-03-13,N,0,0,A
161,547,2023,Robert,Tatiana,System Administration,412,515,673,2023-07-07,2024-12-20,Y,1,1,P
161,1896,2025,Robert,Tatiana,Public Speaking,71,515,515,2025-07-21,2024-02-04,Y,1,1,P
161,1896,2023,Robert,Tatiana,Public Speaking,71,515,669,2023-10-25,2023-03-21,Y,1,1,P
131,1266,2024,Agarwal,Ruvimbo,History,295,788,873,2024-06-21,2023-06-21,Y,1,1,P
375,891,2023,Becker,Tariq,Journalism,137,860,273,2023-03-03,2024-06-28,Y,1,1,P
375,891,2024,Becker,Tariq,Journalism,137,860,268,2024-12-29,2023-02-16,Y,1,1,P
375,891,2025,Becker,Tariq,Journalism,231,860,1029,2025-01-28,2023-02-04,Y,1,1,P
375,1867,2025,Becker,Tariq,Project Management,67,860,747,2025-02-09,2024-03-30,Y,1,1,P
375,1867,2023,Becker,Tariq,Project Management,67,860,771,2023-07-27,2024-09-04,Y,1,1,P
375,1867,2023,Becker,Tariq,Project Management,788,860,318,2023-12-28,2025-07-06,Y,1,1,P
375,1867,2023,Becker,Tariq,Project Management,788,860,984,2023-05-27,2024-01-17,Y,1,1,P
375,1798,2025,Becker,Tariq,Algorithms,640,860,706,2025-08-02,2024-10-09,Y,1,1,P
375,1798,2024,Becker,Tariq,Algorithms,737,860,861,2024-12-23,2024-10-08,Y,1,1,Y
375,547,2025,Becker,Tariq,System Administration,683,860,690,2025-01-13,2023-04-24,Y,1,1,P
375,547,2023,Becker,Tariq,System Administration,412,860,91,2023-05-26,2023-09-09,Y,1,1,P
375,1896,2025,Becker,Tariq,Public Speaking,71,860,515,2025-07-21,2024-02-04,Y,1,1,P
198,891,2025,Johnson,Arjun,Journalism,137,640,525,2025-04-26,2024-12-16,Y,1,1,P
198,1867,2023,Johnson,Arjun,Project Management,515,640,1043,2023-11-29,2024-07-21,Y,1,1,P
198,1867,2025,Johnson,Arjun,Project Management,515,640,496,2025-03-04,2024-12-23,N,0,0,A
198,1867,2024,Johnson,Arjun,Project Management,788,640,717,2024-05-05,2023-12-26,N,0,0,A
198,1867,2025,Johnson,Arjun,Project Management,788,640,432,2025-02-16,2023-03-04,Y,1,1,L
198,1798,2024,Johnson,Arjun,Algorithms,856,640,595,2024-04-26,2023-08-07,Y,1,1,P
198,1798,2023,Johnson,Arjun,Algorithms,856,640,829,2023-06-23,2025-08-08,N,0,0,A
198,1798,2025,Johnson,Arjun,Algorithms,856,640,532,2025-08-29,2023-12-05,Y,1,1,P
198,1798,2025,Johnson,Arjun,Algorithms,860,640,391,2025-07-03,2025-08-06,Y,1,1,P
198,1798,2024,Johnson,Arjun,Algorithms,737,640,712,2024-10-30,2024-03-19,Y,1,1,Y
198,1798,2025,Johnson,Arjun,Algorithms,737,640,667,2025-08-18,2025-03-17,Y,1,1,Y
198,1798,2023,Johnson,Arjun,Algorithms,737,640,1003,2023-06-19,2024-08-06,Y,1,1,Y
198,547,2024,Johnson,Arjun,System Administration,683,640,67,2024-10-31,2023-08-27,N,0,0,A
198,547,2024,Johnson,Arjun,System Administration,683,640,61,2024-08-12,2024-01-25,Y,1,1,L
198,547,2025,Johnson,Arjun,System Administration,412,640,1066,2025-01-20,2025-05-23,N,0,0,A
198,547,2024,Johnson,Arjun,System Administration,412,640,750,2024-07-19,2024-04-09,N,0,0,A
198,1896,2023,Johnson,Arjun,Public Speaking,71,640,755,2023-02-06,2023-04-18,Y,1,1,P
327,891,2023,Ben-Khalil,Kenneth,Journalism,137,737,273,2023-03-03,2024-06-28,Y,1,1,P
327,1749,2024,Ben-Khalil,Kenneth,International Business,197,737,1093,2024-07-25,2025-01-04,Y,1,1,P
327,1867,2023,Ben-Khalil,Kenneth,Project Management,67,737,768,2023-07-16,2025-01-18,Y,1,1,P
327,1867,2023,Ben-Khalil,Kenneth,Project Management,67,737,771,2023-07-27,2024-09-04,Y,1,1,P
327,1867,2024,Ben-Khalil,Kenneth,Project Management,67,737,235,2024-08-26,2025-04-23,N,0,0,A
327,1867,2023,Ben-Khalil,Kenneth,Project Management,515,737,557,2023-07-01,2023-07-22,Y,1,1,P
327,1867,2024,Ben-Khalil,Kenneth,Project Management,515,737,504,2024-12-15,2024-05-29,N,0,0,A
327,1867,2023,Ben-Khalil,Kenneth,Project Management,788,737,183,2023-08-30,2024-12-28,Y,1,1,P
327,1798,2025,Ben-Khalil,Kenneth,Algorithms,856,737,532,2025-08-29,2023-12-05,Y,1,1,P
327,1798,2024,Ben-Khalil,Kenneth,Algorithms,737,737,861,2024-12-23,2024-10-08,Y,1,1,Y
327,547,2023,Ben-Khalil,Kenneth,System Administration,412,737,91,2023-05-26,2023-09-09,Y,1,1,P
327,547,2024,Ben-Khalil,Kenneth,System Administration,412,737,7,2024-08-21,2025-04-07,Y,1,1,P
465,1266,2024,Okafor,Efua,History,846,683,653,2024-10-09,2025-04-29,Y,1,1,P
465,557,2025,Okafor,Efua,Arabic,639,683,272,2025-03-17,2023-04-07,Y,1,1,P
465,557,2025,Okafor,Efua,Arabic,639,683,158,2025-02-19,2024-02-23,Y,1,1,P
465,557,2024,Okafor,Efua,Arabic,880,683,321,2024-02-14,2023-05-25,Y,1,1,Y
465,557,2024,Okafor,Efua,Arabic,924,683,997,2024-05-08,2024-05-25,Y,1,1,Y
330,1266,2023,Gupta,Michelle,History,295,412,715,2023-11-11,2023-07-10,Y,1,1,P
330,557,2025,Gupta,Michelle,Arabic,376,412,617,2025-06-02,2025-01-03,N,0,0,A
330,557,2024,Gupta,Michelle,Arabic,880,412,458,2024-11-12,2024-01-04,Y,1,1,Y
176,1749,2025,Clark,Kwaku,International Business,197,71,716,2025-01-01,2025-02-20,Y,1,1,P
176,1867,2024,Clark,Kwaku,Project Management,67,71,235,2024-08-26,2025-04-23,Y,1,1,P
176,1867,2023,Clark,Kwaku,Project Management,515,71,37,2023-03-01,2024-05-26,Y,1,1,P
176,547,2024,Clark,Kwaku,System Administration,683,71,980,2024-11-16,2024-01-02,N,0,0,A
176,547,2024,Clark,Kwaku,System Administration,412,71,925,2024-12-07,2025-06-23,Y,1,1,P
459,1867,2024,Al-Mahmoud,Lisa,Project Management,788,213,854,2024-04-23,2023-11-13,Y,1,1,P
459,1867,2025,Al-Mahmoud,Lisa,Project Management,788,213,432,2025-02-16,2023-03-04,Y,1,1,P
459,1798,2024,Al-Mahmoud,Lisa,Algorithms,856,213,414,2024-11-10,2025-07-30,Y,1,1,P
459,1798,2024,Al-Mahmoud,Lisa,Algorithms,640,213,775,2024-06-21,2023-06-21,Y,1,1,P
459,1798,2025,Al-Mahmoud,Lisa,Algorithms,737,213,811,2025-07-06,2023-03-19,Y,1,1,Y
459,1798,2023,Al-Mahmoud,Lisa,Algorithms,737,213,1003,2023-06-19,2024-08-06,Y,1,1,Y
459,547,2025,Al-Mahmoud,Lisa,System Administration,412,213,1066,2025-01-20,2025-05-23,Y,1,1,P
459,547,2023,Al-Mahmoud,Lisa,System Administration,412,213,673,2023-07-07,2024-12-20,Y,1,1,P
459,1896,2023,Al-Mahmoud,Lisa,Public Speaking,71,213,1120,2023-08-08,2024-07-31,Y,1,1,P
459,840,2024,Al-Mahmoud,Lisa,Cloud Computing,192,213,743,2024-11-24,2024-11-04,Y,1,1,P
459,1896,2024,Al-Mahmoud,Lisa,Public Speaking,192,213,743,2024-11-24,2024-11-04,Y,1,1,P
89,1266,2024,Nkomo,Matthew,History,295,67,873,2024-06-21,2023-06-21,N,0,0,A
89,557,2025,Nkomo,Matthew,Arabic,639,67,272,2025-03-17,2023-04-07,N,0,0,A
89,557,2025,Nkomo,Matthew,Arabic,639,67,158,2025-02-19,2024-02-23,Y,1,1,P
89,557,2024,Nkomo,Matthew,Arabic,924,67,997,2024-05-08,2024-05-25,Y,1,1,Y
265,891,2024,Esposito,Yaw,Journalism,137,231,268,2024-12-29,2023-02-16,N,0,0,A
265,1867,2024,Esposito,Yaw,Project Management,67,231,954,2024-08-11,2024-04-16,Y,1,1,P
265,1867,2024,Esposito,Yaw,Project Management,788,231,854,2024-04-23,2023-11-13,N,0,0,A
265,1867,2023,Esposito,Yaw,Project Management,788,231,984,2023-05-27,2024-01-17,N,0,0,A
265,547,2025,Esposito,Yaw,System Administration,683,231,690,2025-01-13,2023-04-24,Y,1,1,P
265,547,2024,Esposito,Yaw,System Administration,412,231,596,2024-02-18,2024-03-13,Y,1,1,P
265,547,2023,Esposito,Yaw,System Administration,412,231,895,2023-06-07,2023-07-13,Y,1,1,P
265,547,2023,Esposito,Yaw,System Administration,412,231,673,2023-07-07,2024-12-20,Y,1,1,P
265,1896,2025,Esposito,Yaw,Public Speaking,71,231,515,2025-07-21,2024-02-04,Y,1,1,P
377,557,2023,Lopez,Raj,Arabic,376,856,1010,2023-09-19,2023-06-28,~,0,1,Z
377,557,2025,Lopez,Raj,Arabic,639,856,158,2025-02-19,2024-02-23,N,0,0,A
377,557,2024,Lopez,Raj,Arabic,924,856,997,2024-05-08,2024-05-25,Y,1,1,Y
65,871,2025,Thomas,Dina,Database Design,658,197,708,2025-06-02,2025-01-03,Y,1,1,P
65,871,2024,Thomas,Dina,Database Design,682,197,169,2024-12-07,2025-06-23,Y,1,1,P
